LINKS,MOOD,TITLE ,ARTIST
https://youtu.be/gh3FyLT7WVg?si=V4e9m8g1dsbh0Pns,happy,Kurchi Madathapetti,Thaman S.
https://youtu.be/m7gCn9u9bM4?si=taBgnIR3QA4Y8eSR,happy,Peelings,"Shankarr Babu Kandukoori,Laxmi Dasa"
https://youtu.be/2mDCVzruYzQ?si=pyzjc5CATo-Ix7Lq,happy,ButtaBomma,Armaan Malik
https://youtu.be/Jzb_Nv_ecJ0?si=vaCNsMkqNSpQrufl,fear,Hanumaan Chalisa,Shankar Mahadevan
https://youtu.be/AOIeoPwpe6E?si=kslQ8e74ha6gr9Fq,calm,Odiyamma,"Dhruv Vikram,Shruti Haasan,Chinmayi Sripaada"
https://youtu.be/Zz1M1iVEkwM?si=T9io8nTy7OWlKoBV,Neutral,Samayama,Anurag Kulkarni & Sithara Krishnakumar
https://youtu.be/zNFlJqvxwdg?si=7qFvlpuRbZJmeWws,happy,Gaaju Bomma ,Hesham Abdul Wahab 
https://youtu.be/55kFPnVYtXc?si=-_cLNBwOEEs_79wi,angry,Salaam Rocky Bhai,"Vijay Prakash, Shri Krishna, Lokeshwar, "
https://youtu.be/tK4qSZHc9dk?si=GGYlWCiPK5hPVoLb,calm,Idhe Idhe,Hesham Abdul Wahab
https://youtu.be/hYFzyK9ExuM?si=0-PLdi9pshWDRvlV,calm,Oh Sita Hey Rama ,SPB Charan and Ramya Behara
https://youtu.be/5xwM12SOXEE?si=_i3ei9xc-iLNw4dR,calm,Mehabooba,Ananya Bhat
https://youtu.be/x4NG2X8zhSU?si=psKrD51rVVB2ba9N,angry,Dheera Dheera,"Santhosh Venky, Arun Kaundinya, Adithya Lyengar"
https://youtu.be/HxL4mCg76Lk?si=EekyX62shlurK6fo,angry,Sulthana,"Santhosh Venky, Mohan Krishna, Sachin Basrur, "
https://youtu.be/zNFlJqvxwdg?si=7qFvlpuRbZJmeWws,Calm ,Gaaju Bomma ,Hesham Abdul Wahab 
https://youtu.be/zNFlJqvxwdg?si=7qFvlpuRbZJmeWws,neutral,Gaaju Bomma ,Hesham Abdul Wahab 
https://youtu.be/-_fKCIzJlUQ?si=zTLWZzbckW4-gMnX,calm,Saudebaazi,Anupam Amod
https://youtu.be/hQ3dcgFKPIY?si=YNGOwCASjPjoM5O0,calm,Dil to Baccha Hai ji,"Rahat Fateh Ali Khan,"
https://youtu.be/HIbzXaBdwZw?si=gFszGjNcBOQNkZos,Neutral,Kabhi Kabhi Aditi,Rashid Ali
https://youtu.be/vge5JTkRGLQ?si=9bqOBwefgl3SyGDH,calm,Monta Re ,"SWANAND KIRKIRE, AMITABH BHATTACHARYA"
